65,66,66,66,66,66,66,66,66,66,66,66,66,66,66,67
85,86,86,86,86,86,86,86,86,86,86,86,86,86,86,87
85,86,86,86,86,86,86,86,86,86,86,86,86,86,86,87
85,86,86,86,86,86,86,86,86,86,86,86,86,86,86,87
85,86,86,86,86,86,86,86,86,86,86,86,86,86,86,87
85,86,86,86,86,86,86,86,86,86,86,86,86,86,86,87
85,86,86,86,86,86,86,86,86,86,86,86,86,86,86,87
85,86,86,86,86,86,86,86,86,86,86,86,86,86,86,87
85,86,86,86,86,86,86,86,86,86,86,86,86,86,86,87
85,86,86,86,86,86,86,86,86,86,86,86,86,86,86,87
85,86,86,86,86,86,86,86,86,86,86,86,86,86,86,87
85,86,86,86,86,86,86,86,86,86,86,86,86,86,86,87
85,86,86,86,86,86,86,86,86,86,86,86,86,86,86,87
85,86,86,86,86,86,86,86,86,86,86,86,86,86,86,87
85,86,86,86,86,86,86,86,86,86,86,86,86,86,86,87
105,106,106,106,106,106,106,106,106,106,106,106,106,106,106,107
